,h2h,loser,round,score,surface,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Dianne Balestrat,F,7-5 6-2,grass,Kerry Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
1,H2H 1-0,Karen Krantzcke,SF,7-6 6-4,grass,Dianne Balestrat,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
2,H2H 3-0,Helen Gourlay,SF,6-2 1-6 6-3,grass,Kerry Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
3,H2H 2-0,Jan Wilton,QF,6-3 4-6 6-1,grass,Dianne Balestrat,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
4,H2H 1-0,Naoko Sato,QF,6-3 4-6 6-0,grass,Karen Krantzcke,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
5,H2H 1-0,Mary Sawyer,QF,6-1 6-4,grass,Helen Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
6,H2H 1-0,Katja Ebbinghaus,QF,6-0 6-4,grass,Kerry Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
7,H2H 1-1,Jan O'neill,R16,6-1 6-2,grass,Dianne Balestrat,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
8,H2H 1-0,Daniela Porzio,R16,6-2 6-3,grass,Jan Wilton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
9,H2H 1-0,Nerida Gregory,R16,6-4 6-1,grass,Karen Krantzcke,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
10,H2H 1-0,Pam Whytcross,R16,7-5 6-3,grass,Naoko Sato,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
11,H2H 1-0,Bunny Bruning,R16,6-3 4-6 6-3,grass,Mary Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
12,H2H 1-0,Regina Marsikova,R16,6-3 6-3,grass,Helen Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
13,H2H 1-0,Rayni Fox,R16,6-2 6-7 6-1,grass,Katja Ebbinghaus,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
14,H2H 1-0,Janet Young,R16,6-1 6-2,grass,Kerry Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
15,H2H 1-0,Patricia Bostrom,R32,6-0 3-0 Retired,grass,Dianne Balestrat,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
16,H2H 1-0,Christine Dorey,R32,6-4 4-6 6-4,grass,Jan O'neill,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
17,H2H 1-0,Michele Gurdal,R32,3-6 6-4 6-1,grass,Daniela Porzio,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
18,H2H 1-0,Judy Dalton,R32,6-3 4-6 6-1,grass,Jan Wilton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
19,H2H 1-0,Betsy Nagelsen,R32,2-6 7-5 6-3,grass,Nerida Gregory,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
20,H2H 1-0,Judy Chaloner,R32,6-3 6-2,grass,Karen Krantzcke,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
21,H2H 1-0,Kathleen Harter,R32,5-7 6-4 6-4,grass,Pam Whytcross,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
22,H2H 1-0,Kym Ruddell,R32,6-4 6-4,grass,Naoko Sato,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
23,H2H 1-0,Jenny Dimond,R32,6-3 7-5,grass,Mary Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
24,H2H 1-0,Wendy Gilchrist,R32,7-6 6-7 6-2,grass,Bunny Bruning,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
25,H2H 1-0,Carol Zeeman,R32,6-1 6-3,grass,Regina Marsikova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
26,H2H 1-0,Pamela Bailey,R32,3-6 6-1 6-1,grass,Helen Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
27,H2H 1-0,Amanda Tobin,R32,6-2 6-2,grass,Rayni Fox,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
28,H2H 1-0,Heidi Eisterlehner,R32,6-1 6-2,grass,Katja Ebbinghaus,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
29,H2H 1-0,Chris O'neil,R32,6-7 6-4 6-3,grass,Janet Young,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
30,H2H 1-0,Lesley Bowrey,R32,6-3 6-2,grass,Kerry Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
31,,B Nagelsen / K Reid,F,5-7 6-1 7-5,grass,D Balestrat / H Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
32,,L Bowrey / J O'neill,SF,6-4 6-3,grass,D Balestrat / H Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
33,,K Ruddell / J Young,SF,6-3 6-4,grass,B Nagelsen / K Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
34,,D Porzio / C O'neil,QF,6-4 6-1,grass,D Balestrat / H Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
35,,W Gilchrist / M Sawyer,QF,7-5 7-5,grass,L Bowrey / J O'neill,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
36,,N Gregory / J Wilton,QF,7-6 6-4,grass,K Ruddell / J Young,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
37,,C Dorey / P Whytcross,QF,7-5 6-4,grass,B Nagelsen / K Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
38,,M Gurdal / N Sato,R16,7-5 6-7 6-4,grass,D Balestrat / H Gourlay,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
39,,J Chaloner / R Marsikova,R16,6-0 5-7 6-2,grass,D Porzio / C O'neil,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
40,,K Neill / M Robinson,R16,6-4 6-1,grass,W Gilchrist / M Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
41,,J Dalton / K Krantzcke,R16,6-4 3-6 6-4,grass,L Bowrey / J O'neill,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
42,,K Ebbinghaus / H Eisterlehner,R16,6-2 7-6,grass,N Gregory / J Wilton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
43,,V Franta / D Stockton,R16,6-2 7-6,grass,K Ruddell / J Young,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
44,,K Hallam / C Zeeman,R16,7-6 6-1,grass,C Dorey / P Whytcross,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
45,,R Fox / K Harter,R16,6-2 7-6,grass,B Nagelsen / K Reid,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
46,H2H 1-0,Merrilyn Robinson,FQ,6-2 7-6,grass,Carol Zeeman,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
47,H2H 1-0,Leanne Harrison-Austin,FQ,6-4 7-5,grass,Mary Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
48,H2H 1-0,Dianne Berkinshaw,FQ,4-6 7-5 6-2,grass,Amanda Tobin,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
49,H2H 1-0,Michelle Pekovitch,FQ,6-4 4-6 6-1,grass,Pamela Bailey,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
50,H2H 1-0,Donna Stockton,SFQ,5-7 7-5 1-2 Retired,grass,Merrilyn Robinson,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
51,H2H 1-0,Kerry Neill,SFQ,6-3 6-4,grass,Carol Zeeman,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
52,H2H 1-0,Diane Eastburn,SFQ,6-4 6-4,grass,Mary Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
53,H2H 1-0,Sharon Pinchbeck,SFQ,6-3 6-1,grass,Leanne Harrison-Austin,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
54,H2H 1-0,Kerry Ballard,SFQ,6-3 7-5,grass,Amanda Tobin,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
55,H2H 1-0,Keryn Pratt,SFQ,6-2 6-4,grass,Dianne Berkinshaw,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
56,H2H 1-0,Rosalyn Mccann,SFQ,6-2 6-3,grass,Michelle Pekovitch,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
57,H2H 1-0,Carol Draper,SFQ,6-2 6-3,grass,Pamela Bailey,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
58,H2H 1-0,Jennifer Fenwick,QFQ,2-6 6-2 6-2,grass,Donna Stockton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
59,H2H 1-0,J. Tobin,QFQ,6-4 6-3,grass,Merrilyn Robinson,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
60,H2H 1-0,Michelle Berrigan,QFQ,6-2 6-3,grass,Kerry Neill,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
61,H2H 1-0,Miyoko Sugawara,QFQ,6-3 6-0,grass,Carol Zeeman,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
62,H2H 1-0,Sue Saliba,QFQ,6-4 6-4,grass,Mary Sawyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
63,H2H 1-0,L. Griffiths,QFQ,6-3 6-0,grass,Diane Eastburn,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
64,H2H 1-0,Karen Gulley,QFQ,6-1 6-4,grass,Sharon Pinchbeck,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
65,H2H 1-0,Donna Kelly,QFQ,6-2 6-1,grass,Leanne Harrison-Austin,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
66,H2H 1-0,Kaye Hallam,QFQ,6-4 6-4,grass,Kerry Ballard,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
67,H2H 1-0,Sue Chancellor,QFQ,6-0 6-0,grass,Amanda Tobin,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
68,H2H 1-0,Amanda Pryor,QFQ,6-0 6-3,grass,Dianne Berkinshaw,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
69,H2H 1-0,Andrea Galloway,QFQ,2-6 6-3 6-1,grass,Keryn Pratt,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
70,H2H 1-0,Valerie Franta,QFQ,5-7 6-2 6-2,grass,Michelle Pekovitch,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
71,H2H 1-0,Eri Murata,QFQ,6-4 6-2,grass,Rosalyn Mccann,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
72,H2H 1-0,M. Berta,QFQ,5-7 6-2 6-3,grass,Carol Draper,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
73,H2H 1-0,V. Von Demleaux,QFQ,6-2 6-1,grass,Pamela Bailey,1977-01-03,https://matchstat.com/tennis/tournaments/w/Australian%20Open%202/1977,Australian Open 2
74,H2H 37-22,Chris Evert,F,6-2 6-3,carpet,Martina Navratilova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
75,H2H 18-1,Wendy Turnbull,SF,6-3 6-1,carpet,Chris Evert,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
76,H2H 14-1,Virginia Wade,SF,7-6 6-0,carpet,Martina Navratilova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
77,H2H 9-1,Sue Barker,QF,6-1 6-2,carpet,Chris Evert,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
78,H2H 2-0,Beth Norton,QF,6-2 6-2,carpet,Wendy Turnbull,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
79,H2H 3-0,Francoise Durr,QF,6-1 6-1,carpet,Martina Navratilova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
80,H2H 4-0,Janet Wright,QF,6-3 7-5,carpet,Virginia Wade,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
81,H2H 11-0,Joanne Russell,R16,6-3 6-4,carpet,Chris Evert,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
82,H2H 1-0,Ingrid Bentzer,R16,6-1 6-4,carpet,Sue Barker,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
83,H2H 5-3,Betty Stove,R16,6-0 6-2,carpet,Wendy Turnbull,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
84,H2H 1-0,Greer Stevens,R16,6-1 4-6 6-2,carpet,Beth Norton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
85,H2H 1-0,Carrie Meyer,R16,7-5 6-3,carpet,Francoise Durr,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
86,H2H 1-0,Kristien Shaw,R16,7-6 6-4,carpet,Martina Navratilova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
87,H2H 2-0,Wendy Overton,R16,6-4 6-1,carpet,Janet Wright,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
88,H2H 2-0,Linky Boshoff,R16,6-0 6-2,carpet,Virginia Wade,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
89,H2H 4-0,Kathy Teacher,R32,6-4 6-3,carpet,Chris Evert,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
90,H2H 2-0,Beth Norton,R32,6-2 6-2,carpet,Sue Barker,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
91,H2H 1-0,Florenta Mihai,R32,6-4 6-0,carpet,Ingrid Bentzer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
92,H2H 3-1,Renata Tomanova,R32,7-6 6-4,carpet,Betty Stove,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
93,H2H 1-0,Brigette Cuypers,R32,7-6 6-4,carpet,Wendy Turnbull,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
94,H2H 1-0,Mariana Simionescu,R32,3-6 6-0 6-2,carpet,Greer Stevens,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
95,H2H 1-1,Ann Kiyomura,R32,3-6 6-3 6-1,carpet,Beth Norton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
96,H2H 1-1,Laura Du Pont,R32,7-6 1-6 6-3,carpet,Carrie Meyer,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
97,H2H 1-0,Valerie Ziegenfuss,R32,6-3 7-6,carpet,Francoise Durr,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
98,H2H 1-0,Ilana Kloss,R32,6-1 6-4,carpet,Kristien Shaw,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
99,H2H 3-0,Marcie Harper,R32,6-1 6-3,carpet,Martina Navratilova,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
100,H2H 1-1,Mary Struthers,R32,6-2 6-1,carpet,Wendy Overton,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
101,H2H 2-2,Mima Jausovec,R32,4-6 7-5 6-2,carpet,Janet Wright,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
102,H2H 1-0,Cynthia Doerner,R32,3-6 6-2 6-3,carpet,Linky Boshoff,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
103,H2H 5-0,Julie Anthony,R32,6-2 6-3,carpet,Virginia Wade,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
104,H2H 1-0,Nancy Ornstein,R64,6-4 6-3,carpet,Mariana Simionescu,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
105,,K Shaw / V Ziegenfuss,F,7-5 6-2,carpet,M Navratilova / B Stove,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
106,,L Du Pont / W Turnbull,SF,6-4 3-6 7-5,carpet,M Navratilova / B Stove,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
107,,F Durr / A Kiyomura,SF,6-3 6-4,carpet,K Shaw / V Ziegenfuss,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
108,,J Wright / J Russell,QF,7-6 7-6,carpet,M Navratilova / B Stove,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
109,,B Cuypers / C Doerner,QF,4-6 7-5 6-3,carpet,L Du Pont / W Turnbull,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
110,,K Kuykendall / M Harper,QF,6-0 6-3,carpet,F Durr / A Kiyomura,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
111,,S Barker / G Stevens,QF,6-3 6-3,carpet,K Shaw / V Ziegenfuss,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
112,,M Jausovec / V Ruzici,R16,6-1 6-3,carpet,J Wright / J Russell,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
113,,I Bentzer / M Simionescu,R16,6-2 6-1,carpet,L Du Pont / W Turnbull,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
114,,N Chmyreva / O Morozova,R16,WO,carpet,B Cuypers / C Doerner,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
115,,C Meyer / B Norton,R16,4-6 6-4 7-5,carpet,K Kuykendall / M Harper,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
116,,K Teacher / W Overton,R16,7-6 6-3,carpet,F Durr / A Kiyomura,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
117,,N Ornstein / M Struthers,R16,6-3 4-6 6-1,carpet,K Shaw / V Ziegenfuss,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
118,,L Boshoff / I Kloss,R16,6-3 7-6,carpet,S Barker / G Stevens,1977-01-03,https://matchstat.com/tennis/tournaments/w/Washington%20DC/1977,Washington DC
119,H2H 3-2,Margaret Court,F,6-3 6-4,carpet,Chris Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
120,H2H 9-1,Sue Barker,SF,6-2 6-4,carpet,Chris Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
121,H2H 3-0,Virginia Wade,SF,6-4 7-6,carpet,Margaret Court,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
122,H2H 10-0,Betty Stove,QF,6-4 7-6,carpet,Chris Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
123,H2H 1-12,Martina Navratilova,QF,7-6 6-4,carpet,Sue Barker,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
124,H2H 1-0,Joanne Russell,QF,6-3 6-4,carpet,Margaret Court,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
125,H2H 7-2,Mima Jausovec,QF,6-7 6-4 6-4,carpet,Virginia Wade,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
126,H2H 3-0,Valerie Ziegenfuss,R16,6-1 6-1,carpet,Chris Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
127,H2H 2-0,Kathy Kuykendall,R16,6-3 6-1,carpet,Betty Stove,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
128,H2H 3-0,Marcie Harper,R16,6-2 6-2,carpet,Martina Navratilova,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
129,H2H 4-0,Renata Tomanova,R16,7-6 6-4,carpet,Sue Barker,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
130,H2H 2-1,Wendy Turnbull,R16,6-3 2-6 6-4,carpet,Margaret Court,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
131,H2H 2-0,Kristien Shaw,R16,6-2 3-6 6-2,carpet,Joanne Russell,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
132,H2H 3-1,Greer Stevens,R16,6-4 3-6 7-6,carpet,Mima Jausovec,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
133,H2H 1-1,Kathy Teacher,R16,WO,carpet,Virginia Wade,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
134,H2H 5-0,Julie Anthony,R32,6-1 6-0,carpet,Chris Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
135,H2H 1-0,Terry Holladay,R32,7-6 6-4,carpet,Valerie Ziegenfuss,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
136,H2H 1-0,Mary Struthers,R32,6-2 6-0,carpet,Betty Stove,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
137,H2H 1-0,Regina Marsikova,R32,6-2 1-6 7-6,carpet,Kathy Kuykendall,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
138,H2H 11-0,Ann Kiyomura,R32,7-5 6-1,carpet,Martina Navratilova,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
139,H2H 1-0,Carrie Meyer,R32,2-6 6-4 6-4,carpet,Marcie Harper,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
140,H2H 2-1,Brigette Cuypers,R32,6-4 6-7 6-3,carpet,Sue Barker,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
141,H2H 3-1,Ilana Kloss,R32,6-2 6-2,carpet,Renata Tomanova,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
142,H2H 2-0,Beth Norton,R32,6-2 6-2,carpet,Wendy Turnbull,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
143,H2H 2-0,Virginia Ruzici,R32,2-6 6-1 7-5,carpet,Margaret Court,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
144,H2H 1-0,Marise Kruger,R32,6-4 4-6 7-6,carpet,Joanne Russell,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
145,H2H 2-2,Rosie Casals,R32,7-6 6-2,carpet,Kristien Shaw,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
146,H2H 2-0,Janet Wright,R32,6-1 6-4,carpet,Greer Stevens,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
147,H2H 2-0,Cynthia Doerner,R32,1-6 6-4 6-2,carpet,Mima Jausovec,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
148,H2H 2-0,Francoise Durr,R32,7-6 7-6,carpet,Kathy Teacher,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
149,H2H 1-0,Zenda Liess,R32,6-3 6-0,carpet,Virginia Wade,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
150,H2H 1-1,Wendy Overton,R64,6-1 6-2,carpet,Mary Struthers,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
151,H2H 1-0,Jennifer Balent,R64,6-4 6-3,carpet,Brigette Cuypers,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
152,,S Barker / A Kiyomura,SF,6-2 6-4,carpet,M Navratilova / B Stove,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
153,,M Court / V Wade,SF,6-3 6-1,carpet,R Casals / C Evert,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
154,,I Kloss / G Stevens,QF,6-4 6-0,carpet,M Navratilova / B Stove,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
155,,B Cuypers / M Kruger,QF,6-4 7-5,carpet,S Barker / A Kiyomura,1977-01-10,https://matchstat.com/tennis/tournaments/w/Hollywood/1977,Hollywood
